Model,Task,Instruction,Item,Condition,Prompt,Response
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Paperclip,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Paperclip

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Plant marker
2. DIY zipper pull
3. Temporary fix for a broken zipper
4. Cable organizer
5. Emergency sewing needle
6. Picture hanger
7. Bag seal
8. Wind chime component
9. Plant stake
10. Cord manager"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Paperclip,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Paperclip

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Wind chime component
2. Plant marker
3. DIY zipper pull
4. Emergency fishing hook
5. Cord organizer
6. Mini sculpture base
7. Bag seal
8. Temporary earring back
9. Laptop stand stabilizer
10. Geometric mobile element"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Paperclip,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Paperclip

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.","1. Plant marker
2. DIY wind chime component
3. Temporary fix for a broken zipper
4. Cord organizer
5. Bookmark
6. Photo display holder
7. Emergency sewing needle
8. Plant stake
9. Bag seal
10. Macrame material"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Paperclip,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Paperclip

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Holding together a few sheets of paper
2. Marking a page in a notebook
3. Temporarily fixing a broken zipper
4. Supporting a weak plant stem
5. Serving as a plant label
6. Holding a cable in place
7. Marking a spot on a document
8. Keeping track of a page in a book
9. Holding a small note to a monitor
10. Weighing down a corner of a rug"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Paperclip,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Paperclip

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Plant marker
2. DIY zipper pull
3. Cord organizer
4. Temporary fix for a broken zipper
5. Photo display
6. Bag seal
7. Wind chime component
8. Plant stake
9. Cable management
10. Emergency sewing needle"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Towel,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Towel

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Drop cloth for painting
2. Polishing cloth for metal surfaces
3. Picnic blanket
4. Curtain or room divider
5. Pet bed
6. Dusting cloth for furniture
7. Protective cover for outdoor furniture
8. Emergency blanket in a car
9. Tablecloth for outdoor events
10. Cleaning rag for spills and messes"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Towel,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Towel

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Photographic prop
2. Drop cloth for painting
3. Impromptu puppet show curtain
4. Macrame plant hanger material
5. DIY bird repellent
6. Theatrical costume piece
7. Sound dampening panel
8. Quirky gift wrapping material
9. Improvised drum head
10. Unconventional sculpture medium"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Towel,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Towel

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.","1. Drop cloth for painting
2. Polishing cloth for jewelry
3. Dusting cloth for furniture
4. Emergency seat cover
5. Impromptu picnic blanket
6. Plant cover for frost protection
7. Screen for outdoor movie projection
8. Sound dampener for home recording
9. Tablecloth for outdoor events
10. Window shade for blocking sunlight"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Towel,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Towel

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Drying a plate
2. Wiping down a countertop
3. Cleaning a sink
4. Absorbing a small spill on the floor
5. Dusting a low-shelf bookcase
6. Polishing a metal doorknob
7. Covering a small stain on the carpet
8. Smoothing out wrinkles on a tablecloth
9. Cleaning a window sill
10. Erasing a pencil mark on a wall"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Towel,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Towel

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Cleaning up spills
2. Wiping down surfaces
3. Dusting furniture
4. Polishing mirrors
5. Drying dishes
6. Covering a drafty window
7. Insulating a hot dish
8. Protecting a surface from paint
9. Removing excess wax from furniture
10. Buffing shoes"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Newspaper,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Newspaper

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Polishing metal surfaces
2. Cleaning windows
3. Insulating drafty windows
4. Protecting floors during painting
5. Making paper mache
6. Stuffing boxes for shipping
7. Creating collages
8. Making compost
9. Blocking weeds in gardens
10. Decoupage furniture"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Newspaper,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Newspaper

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Decoupage material for furniture
2. Seed starter for plants
3. Crafting of origami animals
4. Papier-mâché sculpture base
5. DIY lampshade covering
6. Fire starter in camping trips
7. Layering material for compost
8. Wrapping paper for small gifts
9. Soundproofing material for walls
10. Collage element in mixed media art"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Newspaper,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Newspaper

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.","1. Gift wrapping material
2. Table runner for outdoor events
3. Fire starter in fireplaces
4. Crafting material for paper mache
5. Drop cloth for painting
6. Polishing agent for metal surfaces
7. Weed barrier in gardens
8. Decoupage medium for furniture
9. Insulation in cold climates
10. Pest control for garden slugs"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Newspaper,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Newspaper

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Wrapping paper for small gifts
2. Covering a table for a picnic
3. Lining a shelf in a closet
4. Stuffing a box for shipping
5. Creating a paperweight
6. Filling a gap under a door
7. Making a bookmark
8. Covering a window for privacy
9. Serving as a drop cloth for painting
10. Insulating a drafty window"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Newspaper,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Newspaper

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Gift wrapping
2. Table runner
3. Shelf liner
4. Fire starter
5. Polishing silverware
6. Cleaning windows
7. Making paper flowers
8. Insulating windows
9. Crafting paper mache
10. Drying herbs"
