Model,Task,Instruction,Item,Condition,Prompt,Response,Short_Model,Parsed_Ideas,Originality_Score,Rarity_Score,Parsed_Words
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Doorstop,0.788390040397644,0.9333333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Paperweight,0.7166880369186401,0.9444444444444444,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Shelf spacer,0.8337727785110474,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Leveling shim,1.0035849809646606,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Table riser,0.8748371005058289,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Dust collector,0.8850128650665283,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Drawer filler,0.8448659777641296,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Box padding,0.9541562795639038,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Surface protector,0.8938292264938354,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Drawer filler
8. Box padding
9. Surface protector
10. Wall lean-to",gemma-4-31b-it,Wall lean-to,0.8959527611732483,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Doorstop,0.788390040397644,0.9333333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Press for drying flowers,0.9548137187957764,0.9777777777777777,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Shelf riser,0.8638511896133423,0.9833333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Leveling shim for furniture,0.9901328682899475,0.9777777777777777,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Secret storage compartment,0.796256422996521,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Paperweight,0.7166880369186401,0.9444444444444444,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Decorative display piece,0.7808647155761719,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Pillow support,0.8710263967514038,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Secret storage compartment
6. Paperweight
7. Decorative display piece
8. Pillow support
9. Handrest for writing
10. Coaster for a lamp",gemma-4-31b-it,Handrest for writing,0.8354464769363403,0.9944444444444445,
