Model,Task,Instruction,Item,Condition,Prompt,Response,Short_Model,Parsed_Words,Originality_Score,Rarity_Score
meta-llama/Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Standard,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words","1. Space
2. Sushi
3. Guitar
4. Snowflake
5. Perfume
6. Llama
7. Submarine
8. Piano
9. Starfish
10. Caramel",Llama-3.3-70B-Instruct-Turbo,"['space', 'sushi', 'guitar', 'snowflake', 'perfume', 'llama', 'submarine', 'piano', 'starfish', 'caramel']",79.12102,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Creative,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words
Condition: Be creative.","1. Fjord
2. Quokka
3. Salsa
4. Nebula
5. Submarine
6. Kimono
7. Fiddle
8. Glacier
9. Saffron
10. Microchip",Llama-3.3-70B-Instruct-Turbo,"['fjord', 'quokka', 'salsa', 'nebula', 'submarine', 'kimono', 'fiddle', 'glacier', 'saffron', 'microchip']",78.0235,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Effective,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words
Condition: Be effective.","1. Fjord
2. Quokka
3. Saffron
4. Submarine
5. Glacier
6. Harmonica
7. Starfish
8. Perfume
9. Llama
10. Microchip",Llama-3.3-70B-Instruct-Turbo,"['fjord', 'quokka', 'saffron', 'submarine', 'glacier', 'harmonica', 'starfish', 'perfume', 'llama', 'microchip']",71.89402,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Boring,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words
Condition: Be boring.","1. Fjord
2. Quiche
3. Submarine
4. Perfume
5. Glacier
6. Salsa
7. Llama
8. Microchip
9. Harmonica
10. Saffron",Llama-3.3-70B-Instruct-Turbo,"['fjord', 'quiche', 'submarine', 'perfume', 'glacier', 'salsa', 'llama', 'microchip', 'harmonica', 'saffron']",72.95435,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Conventional,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words
Condition: Be conventional.","1. Space
2. Sushi
3. Guitar
4. Snowflake
5. Perfume
6. Submarine
7. Bicycle
8. Pineapple
9. Fountain
10. Microchip",Llama-3.3-70B-Instruct-Turbo,"['space', 'sushi', 'guitar', 'snowflake', 'perfume', 'submarine', 'bicycle', 'pineapple', 'fountain', 'microchip']",77.43056,0.0
qwen/qwen3.6-27b,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Standard,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words","
1. Quasar
2. Moccasin
3. Algorithm
4. Ferret
5. Gargle
6. Tectonic
7. Whimsy
8. Sulfur
9. Bureaucrat
10. Zephyr",qwen3.6-27b,"['quasar', 'moccasin', 'algorithm', 'ferret', 'gargle', 'tectonic', 'whimsy', 'sulfur', 'bureaucrat', 'zephyr']",80.61135,0.0
qwen/qwen3.6-27b,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Creative,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words
Condition: Be creative.","
1. Quasar
2. Mustard
3. Gossamer
4. Algorithm
5. Lichen
6. Symphony
7. Tectonic
8. Whisper
9. Neon
10. Fossil",qwen3.6-27b,"['quasar', 'mustard', 'gossamer', 'algorithm', 'lichen', 'symphony', 'tectonic', 'whisper', 'neon', 'fossil']",81.53057,0.0
qwen/qwen3.6-27b,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Effective,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words
Condition: Be effective.","
1. Quantum
2. Zucchini
3. Despair
4. Algorithm
5. Velvet
6. Tsunami
7. Philosophy
8. Kitten
9. Irony
10. Galaxy",qwen3.6-27b,"['quantum', 'zucchini', 'despair', 'algorithm', 'velvet', 'tsunami', 'philosophy', 'kitten', 'irony', 'galaxy']",77.37367,0.0
qwen/qwen3.6-27b,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Boring,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words
Condition: Be boring.","
1. Stapler
2. Beige
3. Tuesday
4. Concrete
5. Spreadsheet
6. Waiting
7. Gray
8. Inventory
9. Filing
10. Pause",qwen3.6-27b,"['stapler', 'beige', 'tuesday', 'concrete', 'spreadsheet', 'waiting', 'gray', 'inventory', 'filing', 'pause']",74.707115,0.0
qwen/qwen3.6-27b,Divergent Association Task,"Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",Generate 10 unrelated words,Conventional,"Task: Name 10 single words that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Target: Generate 10 unrelated words
Condition: Be conventional.","
1. Quasar
2. Marmalade
3. Algorithm
4. Velvet
5. Tectonic
6. Whisper
7. Chromium
8. Labyrinth
9. Zephyr
10. Oblivion",qwen3.6-27b,"['quasar', 'marmalade', 'algorithm', 'velvet', 'tectonic', 'whisper', 'chromium', 'labyrinth', 'zephyr', 'oblivion']",81.988144,0.0
